year,month,day,breed,gender,spayneuter,zipcode,age
2018,9,14,pointer,M,TRUE,11223,5
2018,9,9,german shepherd,F,FALSE,11220,12
2018,8,24,shiba inu,M,FALSE,11228,6
2018,9,11,mixed,U,FALSE,NA,NA
2018,9,15,mixed,F,FALSE,11208,2
2018,9,17,NA,F,FALSE,11208,6
2018,9,6,tibetan terrier,M,TRUE,11231,14
2018,9,11,german shepherd,M,TRUE,11235,11
2018,9,14,german shepherd,U,FALSE,NA,NA
2018,9,14,NA,U,FALSE,NA,NA
2018,9,2,NA,U,FALSE,11218,NA
2018,8,31,bull dog,U,FALSE,11225,NA
2018,9,3,jack russ,U,FALSE,11214,NA
2018,9,11,NA,U,FALSE,NA,NA
2018,9,14,german shepherd,M,TRUE,11229,NA
2018,7,23,pit bull,U,FALSE,11207,NA
2018,7,23,pit bull,U,FALSE,11207,NA
2018,9,18,sheperd,U,FALSE,11233,NA
2018,9,16,NA,U,FALSE,NA,NA
2018,9,16,NA,U,FALSE,NA,NA
2018,8,16,siberian husky,M,FALSE,11232,0.42
2018,9,11,NA,U,FALSE,11211,NA
2018,9,17,wheaton terrier,M,FALSE,11235,0.92
2018,9,18,chihuahua,M,TRUE,11208,1
2018,9,23,NA,U,FALSE,11212,NA
2018,9,22,german shepherd,M,FALSE,11218,3
2018,9,25,NA,U,FALSE,NA,NA
2018,9,25,pit bull,U,FALSE,11207,NA
2018,9,26,cane corso,U,FALSE,11223,NA
2018,9,27,pit bull,M,FALSE,11225,6
2018,9,27,NA,U,FALSE,NA,NA
2018,9,30,german shepherd,M,TRUE,NA,4
2018,9,17,doberman pinscher,M,TRUE,11234,8
2018,10,1,pit bull,U,FALSE,11223,NA
2018,9,17,maltese,F,FALSE,11230,8
2018,9,29,NA,F,FALSE,11234,2
2018,9,14,bull dog,U,FALSE,11209,NA
2018,9,20,NA,U,FALSE,11226,NA
2018,9,24,NA,U,FALSE,11215,NA
2018,9,26,pit bull,F,FALSE,11207,7
2018,9,23,boston terrier,M,TRUE,11217,2
