fips,human2014,human2016,human2018
19051,46,50.234001,52.659
19053,46,52.692001,55.816002
19055,44,49.546001,51.300999
19057,50,54.131001,53.555
19059,49,46.523998,49.433998
19061,46,52.012001,54.487999
19063,43,48.534,49.491001
19065,52,52.896,53.352001
19067,43,50.894001,52.376999
19069,44,47.896,50.577999
19071,42,44.063999,45.933998
19073,42,48.797001,51.02
19075,40,45.187,48.033001
19077,49,48.740002,51.229
19079,43,48.202999,50.355
19081,45,46.333,49.097
19083,40,46.750999,49.338001
19085,43,48.217999,50.188999
19087,46,48.956001,50.790001
19089,48,53.752998,52.104
19091,40,45.499001,46.862999
19093,41,45.521999,47.803001
19095,44,49.348,51.978001
19097,40,51.096001,52.5
19099,45,49.991001,52.054001
19101,44,53.734001,55.428001
19103,57,61.224998,65.619003
19105,42,51.210999,51.994999
19107,46,50.626999,51.360001
19109,45,46.963001,48.509998
19111,45,50.351002,49.638
19113,47,52.952,56.345001
19115,43,48.723,51.146999
19117,43,47.641998,48.116001
19119,42,41.779999,45.397999
19121,50,48.187,50.132
19123,44,47.754002,49.662998
19125,45,48.16,51.629002
19127,42,52.202999,56.216999
19129,44,44.638,46.369999
19131,42,50.030998,51.778999
19133,47,47.716999,48.277
19135,41,45.577999,47.262001
19137,42,45.896999,49.542999
19139,44,49.923,51.627998
19141,45,45.282001,48.831001
19143,45,45.969002,47.965
19145,51,45.341999,48.748001
19147,44,48.799,51.007999
19149,43,45.258999,47.787998
19151,43,47.923,50.120998
19153,49,52.730999,56.026001
19155,47,49.705002,51.618999
19157,48,53.525002,56.866001
19159,43,50.838001,51.301998
19161,43,46.25,46.944
19163,44,51.096001,53.292
19165,43,46.845001,50.485001
19167,47,43.012001,48.573002
19169,49,54.792,59.657001
19171,45,52.022999,53.610001
19173,52,51.296001,52.507
19175,43,51.793999,52.053001
19177,44,47.912998,49.653
19179,44,49.332001,50.161999
19181,43,48.710999,51.304001
19183,54,52.967999,52.502998
19185,49,49.301998,49.82
19187,43,49.800999,50.648998
19189,48,51.431999,52.049
19191,46,54.046001,58.719002
19193,46,50.286999,51.687
19195,42,51.063,49.848999
19197,43,48.339001,52.352001
20001,40,45.584999,49.672001
20003,41,44.316002,48.549
20005,43,46.963001,50.998001
20007,39,41.481998,44.359001
20009,44,43.662998,47.332001
20011,43,47.278,50.860001
20013,40,44.256001,48.368
20015,41,43.866001,47.915001
20017,40,45.028,50.424999
20019,44,43.057999,48.651001
20021,43,43.486,45.951
20023,47,44.688999,47.862
20025,52,46.416,49.773998
20027,49,46.806,49.328999
20029,44,45.063,48.838001
20031,43,43.294998,46.087002
20033,42,43.915001,46.710999
20035,43,46.087002,51.046001
20037,42,48.997002,50.186001
20039,42,42.952,48.030998
20041,43,43.303001,47.463001
20043,41,42.405998,45.776001
20045,49,57.66,61.736
20047,42,46.157001,49.463001
20049,43,45.402,49.244999
20051,41,43.634998,47.66
20053,43,44.342999,49.827999
20055,49,48.389,54.335999
20057,42,49.785,55.439999
20059,47,47.493999,49.786999
20061,45,49.893002,53.056
20063,40,42.157001,50.375999
20065,52,42.886002,49.115002
20067,43,45.762001,51.501999
20069,42,41.706001,46.319
20071,52,46.185001,51.198002
20073,41,42.692001,46.291
20075,40,44.382,52.988998
20077,40,43.610001,46.424999
20079,44,49.236,52.214001
20081,46,44.473,49.500999
20083,40,41.876999,45.467999
20085,40,45.297001,48.214001
20087,46,44.962002,48.087002
20089,44,42.312,46.000999
20091,46,50.082001,54.679001
20093,43,45.535,50.93
20095,45,43.040001,47.326
20097,41,41.842999,46.797001
20099,41,47.354,50.021999
20101,45,44.936001,43.805
20103,45,49.59,53.087002
20105,41,44.702999,50.245998
20107,37,39.507999,42.123001
20109,52,45.592999,46.995998
20111,45,51.525002,55.655998
20113,42,44.689999,49.618
20115,48,47.061001,49.647999
20117,41,44.105,48.222
