tconst,title_type,primary_title,simple_title,year,runtime_minutes,average_rating,num_votes
tt0270884,movie,Christmas Present,christmas present,1985,70,5.5,27
tt0272046,tvMovie,The Christmas Secret,the christmas secret,2000,83,5.7,471
tt0273603,tvMovie,Father Christmas and the Missing Reindeer,father christmas and the missing reindeer,1998,25,8.1,18
tt0273726,movie,Christmas Nightmare,christmas nightmare,2001,90,3.6,88
tt0275225,tvMovie,Benji's Very Own Christmas Story,benjis very own christmas story,1978,25,5.3,316
tt0275437,movie,A Jewish Christmas Story,a jewish christmas story,1997,NA,4.9,10
tt0276016,tvMovie,He-Man and She-Ra: A Christmas Special,heman and shera a christmas special,1985,51,6.6,1689
tt0276338,tvMovie,Mole's Christmas,moles christmas,1994,30,7.9,104
tt0278150,tvMovie,A Wind at My Back Christmas,a wind at my back christmas,2001,91,6.3,160
tt0279732,video,Christmas Mission,christmas mission,1999,30,6.4,119
tt0281344,tvMovie,A Very Retail Christmas,a very retail christmas,1990,30,5,47
tt0281766,tvMovie,The Dangerous Christmas of Red Riding Hood,the dangerous christmas of red riding hood,1965,50,6.5,53
