id_player,Born,City,Cntry,Nat,Ht,Wt,Last_Name,First_Name,Position,Team,GP,G,A,TOI,TOI_GP
575,27.05.1996,Saskatoon,CAN,CAN,74,191,Nogier,Nelson,D,WPG,10,0,0,7028,11.72
576,23.06.1989,"Garden River, First Nations",CAN,CAN,75,219,Nolan,Jordan,C/LW/RW,L.A,46,4,4,29962,10.85
577,25.02.1992,Stockholm,SWE,SWE,73,189,Nordstrom,Joakim,LW/C,CAR,82,7,5,62576,12.72
578,01.09.1992,Pardubice,CZE,CZE,75,210,Nosek,Tomas,LW/C,DET,11,1,0,6682,10.12
579,12.04.1993,Burnaby,CAN,CAN,72,196,Nugent-Hopkins,Ryan,C,EDM,82,18,25,87045,17.67
580,04.02.1995,Hamilton,CAN,CAN,76,220,Nurse,Darnell,D,EDM,44,5,6,44927,17.02
581,06.06.1994,Oulu,FIN,FIN,73,186,Nutivaara,Markus,D,CBJ,66,2,5,52322,13.22
582,02.03.1998,Calgary,CAN,CAN,73,180,Nylander,Alex,RW/LW,BUF,4,0,1,2959,12.33
583,01.05.1996,Calgary,CAN,SWE,72,190,Nylander,William,C/RW,TOR,81,22,39,77820,15.92
584,01.09.1989,Halmstad,SWE,SWE,71,184,Nyquist,Gustav,RW/C/LW,DET,76,12,36,79502,17.42
585,29.07.1994,Halifax,CAN,CAN,73,215,O'Brien,Liam,C/LW,WSH,1,0,0,368,6.13
586,06.07.1993,Massapequa,USA,USA,76,207,O'Gara,Rob,D,BOS,3,0,0,2882,16.02
587,30.01.1994,Berlin,DEU,USA,69,180,O'Regan,Daniel,C/LW,S.J,3,1,0,2079,9.32
588,30.09.1986,Toronto,CAN,CAN,72,193,O'Reilly,Cal,C,BUF,11,0,1,5235,7.93
589,07.02.1991,Clinton,CAN,CAN,73,210,O'Reilly,Ryan,C/LW/RW,BUF,72,20,35,92700,21.47
590,01.10.1981,Stockholm,SWE,SWE,72,195,Oduya,Johnny,D,CHI/DAL,52,2,7,57011,18.27
