company,Date,Open,High,Low,Close,Adj Close,Volume
MSFT,2023-02-01,248,255.179993,245.470001,252.75,250.066147,31259900
NFLX,2023-02-01,353.859985,365.390015,349.910004,361.98999,361.98999,8005200
NVDA,2023-02-01,196.910004,211.919998,196.110001,209.429993,209.327301,66047700
TSLA,2023-02-01,173.889999,183.809998,169.929993,181.410004,181.410004,213806300
AMZN,2023-02-02,110.25,114,108.879997,112.910004,112.910004,158154200
APPL,2023-02-02,148.899994,151.179993,148.169998,150.820007,149.790558,118339000
GOOG,2023-02-02,106.790001,108.82,106.540001,108.800003,108.800003,46622600
META,2023-02-02,183.380005,197.160004,180.160004,188.770004,188.569931,150475700
MSFT,2023-02-02,258.820007,264.690002,257.25,264.600006,261.790314,39940400
NFLX,2023-02-02,365.160004,368.320007,358.429993,366.890015,366.890015,7857000
NVDA,2023-02-02,210,219.490005,207,217.089996,216.983536,56427600
TSLA,2023-02-02,187.330002,196.75,182.610001,188.270004,188.270004,217448300
AMZN,2023-02-03,105.260002,108.779999,102.519997,103.389999,103.389999,144374800
APPL,2023-02-03,148.029999,157.380005,147.830002,154.5,153.445419,154357300
GOOG,2023-02-03,103.510002,108.019997,103.300003,105.220001,105.220001,36823400
META,2023-02-03,183.470001,196.770004,182.889999,186.529999,186.332291,76809700
MSFT,2023-02-03,259.540009,264.200012,257.100006,258.350006,255.606689,29077300
NFLX,2023-02-03,359.079987,379.429993,359,365.899994,365.899994,9402000
NVDA,2023-02-03,210,217.449997,207.889999,211,210.89653,42936600
TSLA,2023-02-03,183.949997,199,183.690002,189.979996,189.979996,232662000
AMZN,2023-02-06,102.93,103.949997,100.650002,102.18,102.18,81945200
APPL,2023-02-06,152.570007,153.100006,150.779999,151.729996,150.694321,69858300
GOOG,2023-02-06,102.684998,104.699997,102.209999,103.470001,103.470001,25573000
META,2023-02-06,186.529999,190.699997,185.520004,186.059998,185.862793,42483800
MSFT,2023-02-06,257.440002,258.299988,254.779999,256.769989,254.043442,22518000
NFLX,2023-02-06,363.640015,368.450012,360.679993,361.480011,361.480011,4994900
NVDA,2023-02-06,208.059998,215.699997,207.860001,210.889999,210.786575,45219700
TSLA,2023-02-06,193.009995,198.169998,189.919998,194.759995,194.759995,186188100
AMZN,2023-02-07,101.169998,102.410004,98.080002,102.110001,102.110001,119501300
APPL,2023-02-07,150.639999,155.229996,150.639999,154.649994,153.594376,83322600
GOOG,2023-02-07,103.629997,108.669998,103.547997,108.040001,108.040001,33738800
META,2023-02-07,185.580002,193.779999,184.399994,191.619995,191.416901,47080700
MSFT,2023-02-07,260.529999,268.769989,260.079987,267.559998,264.718903,50841400
NFLX,2023-02-07,358.51001,364.179993,354.179993,362.950012,362.950012,6289400
NVDA,2023-02-07,213.820007,222.589996,211.5,221.729996,221.621262,66415000
TSLA,2023-02-07,196.429993,197.5,189.550003,196.809998,196.809998,186010300
AMZN,2023-02-08,102.040001,102.669998,98.779999,100.050003,100.050003,75878300
APPL,2023-02-08,153.880005,154.580002,151.169998,151.919998,150.883026,64120100
GOOG,2023-02-08,102.690002,103.580002,98.455002,100,100,73546000
